"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"India","1993","060310","Cut flowers and flower buds for bouquets, etc., fresh","Export","317652","0","No Quantity","0"
"India","1993","060390","Cut flowers and flower buds for bouquets, dried, etc.","Export","3481714","0","No Quantity","0"
"India","1993","060410","Mosses and lichens for bouquets, ornamental purposes","Export","75","0","No Quantity","0"
"India","1993","060491","Foliage,branches, for bouquets, etc. - fresh","Import","7911","0","No Quantity","0"
"India","1993","060491","Foliage,branches, for bouquets, etc. - fresh","Export","21609","0","No Quantity","0"
"India","1993","060499","Foliage,branches, for bouquets, etc. - except fresh","Import","13210","0","No Quantity","0"
"India","1993","060499","Foliage,branches, for bouquets, etc. - except fresh","Export","756105","0","No Quantity","0"
"India","1992","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Import","17898","0","No Quantity","0"
"India","1992","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Export","46678","0","No Quantity","0"
"India","1992","060120","Bulbs, tubers, corms etc in growth, chicory plants","Import","119","0","No Quantity","0"
"India","1992","060120","Bulbs, tubers, corms etc in growth, chicory plants","Export","255542","0","No Quantity","0"
"India","1992","060210","Cuttings and slips, not rooted","Import","45698","0","No Quantity","0"
"India","1992","060210","Cuttings and slips, not rooted","Export","190441","0","No Quantity","0"
"India","1992","060220","Trees, edible fruit or nut, shrubs and bushes","Import","3640","0","No Quantity","0"
"India","1992","060230","Rhododendrons and azaleas","Export","439","0","No Quantity","0"
"India","1992","060240","Roses","Import","498","0","No Quantity","0"
"India","1992","060240","Roses","Export","97678","0","No Quantity","0"
"India","1992","060291","Mushroom spawn","Export","64772","0","No Quantity","0"
"India","1992","060299","Plants, live (including their roots),nes","Import","101464","0","No Quantity","0"
"India","1992","060299","Plants, live (including their roots),nes","Export","825799","0","No Quantity","0"
"India","1992","060310","Cut flowers and flower buds for bouquets, etc., fresh","Import","11186","0","No Quantity","0"
"India","1992","060310","Cut flowers and flower buds for bouquets, etc., fresh","Export","420431","0","No Quantity","0"
"India","1992","060390","Cut flowers and flower buds for bouquets, dried, etc.","Export","2836846","0","No Quantity","0"
"India","1992","060410","Mosses and lichens for bouquets, ornamental purposes","Export","13560","0","No Quantity","0"
"India","1992","060491","Foliage,branches, for bouquets, etc. - fresh","Export","16321","0","No Quantity","0"
"India","1992","060499","Foliage,branches, for bouquets, etc. - except fresh","Export","982058","0","No Quantity","0"
"India","1991","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Import","162025","0","No Quantity","0"
"India","1991","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Export","18329","0","No Quantity","0"
"India","1991","060120","Bulbs, tubers, corms etc in growth, chicory plants","Import","11195","0","No Quantity","0"
"India","1991","060120","Bulbs, tubers, corms etc in growth, chicory plants","Export","471787","0","No Quantity","0"
"India","1991","060210","Cuttings and slips, not rooted","Import","50398","0","No Quantity","0"
"India","1991","060210","Cuttings and slips, not rooted","Export","326098","0","No Quantity","0"
"India","1991","060220","Trees, edible fruit or nut, shrubs and bushes","Import","520","0","No Quantity","0"
"India","1991","060220","Trees, edible fruit or nut, shrubs and bushes","Export","8849","0","No Quantity","0"
"India","1991","060240","Roses","Import","90727","0","No Quantity","0"
"India","1991","060240","Roses","Export","84614","0","No Quantity","0"
"India","1991","060291","Mushroom spawn","Export","329504","0","No Quantity","0"
"India","1991","060299","Plants, live (including their roots),nes","Import","129882","0","No Quantity","0"
"India","1991","060299","Plants, live (including their roots),nes","Export","882851","0","No Quantity","0"
"India","1991","060310","Cut flowers and flower buds for bouquets, etc., fresh","Export","162168","0","No Quantity","0"
"India","1991","060390","Cut flowers and flower buds for bouquets, dried, etc.","Export","2614969","0","No Quantity","0"
"India","1991","060410","Mosses and lichens for bouquets, ornamental purposes","Export","474","0","No Quantity","0"
"India","1991","060491","Foliage,branches, for bouquets, etc. - fresh","Export","141288","0","No Quantity","0"
"India","1991","060499","Foliage,branches, for bouquets, etc. - except fresh","Export","974904","0","No Quantity","0"
"India","1990","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Export","50041","0","No Quantity","0"
"India","1990","060120","Bulbs, tubers, corms etc in growth, chicory plants","Import","32478","0","No Quantity","0"
"India","1990","060120","Bulbs, tubers, corms etc in growth, chicory plants","Export","188615","0","No Quantity","0"
"India","1990","060210","Cuttings and slips, not rooted","Import","7291","0","No Quantity","0"
"India","1990","060210","Cuttings and slips, not rooted","Export","359437","0","No Quantity","0"
"India","1990","060220","Trees, edible fruit or nut, shrubs and bushes","Export","9304","0","No Quantity","0"
"India","1990","060240","Roses","Import","2654","0","No Quantity","0"
"India","1990","060240","Roses","Export","34453","0","No Quantity","0"
"India","1990","060291","Mushroom spawn","Export","601803","0","No Quantity","0"
"India","1990","060299","Plants, live (including their roots),nes","Import","9938","0","No Quantity","0"
"India","1990","060299","Plants, live (including their roots),nes","Export","733398","0","No Quantity","0"
"India","1990","060310","Cut flowers and flower buds for bouquets, etc., fresh","Export","27010","0","No Quantity","0"
"India","1990","060390","Cut flowers and flower buds for bouquets, dried, etc.","Export","1407461","0","No Quantity","0"
"India","1990","060499","Foliage,branches, for bouquets, etc. - except fresh","Export","923866","0","No Quantity","0"
"India","1989","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Export","30486","0","No Quantity","0"
"India","1989","060120","Bulbs, tubers, corms etc in growth, chicory plants","Export","902873","0","No Quantity","0"
"India","1989","060210","Cuttings and slips, not rooted","Export","141734","0","No Quantity","0"
"India","1989","060220","Trees, edible fruit or nut, shrubs and bushes","Export","8591","0","No Quantity","0"
"India","1989","060230","Rhododendrons and azaleas","Export","141","0","No Quantity","0"
"India","1989","060240","Roses","Export","105765","0","No Quantity","0"
"India","1989","060291","Mushroom spawn","Export","457724","0","No Quantity","0"
"India","1989","060299","Plants, live (including their roots),nes","Import","84371","0","No Quantity","0"
"India","1989","060299","Plants, live (including their roots),nes","Export","757035","0","No Quantity","0"
"India","1989","060310","Cut flowers and flower buds for bouquets, etc., fresh","Export","64629","0","No Quantity","0"
"India","1989","060390","Cut flowers and flower buds for bouquets, dried, etc.","Export","1472438","0","No Quantity","0"
"India","1989","060499","Foliage,branches, for bouquets, etc. - except fresh","Import","2363","0","No Quantity","0"
"India","1989","060499","Foliage,branches, for bouquets, etc. - except fresh","Export","535376","0","No Quantity","0"
"India","1988","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Export","19233","0","No Quantity","0"
"India","1988","060120","Bulbs, tubers, corms etc in growth, chicory plants","Export","278407","0","No Quantity","0"
"India","1988","060210","Cuttings and slips, not rooted","Export","306834","0","No Quantity","0"
"India","1988","060220","Trees, edible fruit or nut, shrubs and bushes","Export","10837","0","No Quantity","0"
"India","1988","060230","Rhododendrons and azaleas","Export","19118","0","No Quantity","0"
"India","1988","060240","Roses","Export","165021","0","No Quantity","0"
"India","1988","060291","Mushroom spawn","Export","275528","0","No Quantity","0"
"India","1988","060299","Plants, live (including their roots),nes","Import","131362","0","No Quantity","0"
"India","1988","060299","Plants, live (including their roots),nes","Export","700952","0","No Quantity","0"
"India","1988","060310","Cut flowers and flower buds for bouquets, etc., fresh","Export","154888","0","No Quantity","0"
"India","1988","060390","Cut flowers and flower buds for bouquets, dried, etc.","Export","479030","0","No Quantity","0"
"India","1988","060410","Mosses and lichens for bouquets, ornamental purposes","Export","25","0","No Quantity","0"
"India","1988","060499","Foliage,branches, for bouquets, etc. - except fresh","Export","793085","0","No Quantity","0"
"Indonesia","1993","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Import","93901","11976","Weight in kilograms","11976"
"Indonesia","1993","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Export","138969","143475","Weight in kilograms","143475"
"Indonesia","1993","060120","Bulbs, tubers, corms etc in growth, chicory plants","Import","284674","68878","Weight in kilograms","68878"
"Indonesia","1993","060120","Bulbs, tubers, corms etc in growth, chicory plants","Export","1211810","5086404","Weight in kilograms","5086404"
"Indonesia","1993","060210","Cuttings and slips, not rooted","Import","51944","31063","Weight in kilograms","31063"
"Indonesia","1993","060210","Cuttings and slips, not rooted","Export","353974","902803","Weight in kilograms","902803"
"Indonesia","1993","060220","Trees, edible fruit or nut, shrubs and bushes","Import","41692","32101","Weight in kilograms","32101"
"Indonesia","1993","060220","Trees, edible fruit or nut, shrubs and bushes","Export","23859","29920","Weight in kilograms","29920"
"Indonesia","1993","060240","Roses","Import","19555","1404","Weight in kilograms","1404"
"Indonesia","1993","060240","Roses","Export","6123","30190","Weight in kilograms","30190"
"Indonesia","1993","060291","Mushroom spawn","Import","3177","218","Weight in kilograms","218"
"Indonesia","1993","060299","Plants, live (including their roots),nes","Import","988728","61801","Weight in kilograms","61801"
"Indonesia","1993","060299","Plants, live (including their roots),nes","Export","681816","2142238","Weight in kilograms","2142238"
"Indonesia","1993","060310","Cut flowers and flower buds for bouquets, etc., fresh","Import","82149","16627","Weight in kilograms","16627"
"Indonesia","1993","060310","Cut flowers and flower buds for bouquets, etc., fresh","Export","2408890","579987","Weight in kilograms","579987"
"Indonesia","1993","060390","Cut flowers and flower buds for bouquets, dried, etc.","Import","86986","69899","Weight in kilograms","69899"
"Indonesia","1993","060390","Cut flowers and flower buds for bouquets, dried, etc.","Export","24995","16971","Weight in kilograms","16971"
"Indonesia","1993","060410","Mosses and lichens for bouquets, ornamental purposes","Import","12495","3077","Weight in kilograms","3077"
"Indonesia","1993","060410","Mosses and lichens for bouquets, ornamental purposes","Export","411617","2621943","Weight in kilograms","2621943"
"Indonesia","1993","060491","Foliage,branches, for bouquets, etc. - fresh","Import","4519","1875","Weight in kilograms","1875"
"Indonesia","1993","060491","Foliage,branches, for bouquets, etc. - fresh","Export","26915","11750","Weight in kilograms","11750"
"Indonesia","1993","060499","Foliage,branches, for bouquets, etc. - except fresh","Import","7810","10358","Weight in kilograms","10358"
"Indonesia","1993","060499","Foliage,branches, for bouquets, etc. - except fresh","Export","1157764","1036272","Weight in kilograms","1036272"
"Indonesia","1992","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Import","37473","1826","Weight in kilograms","1826"
"Indonesia","1992","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Export","213782","282738","Weight in kilograms","282738"
"Indonesia","1992","060120","Bulbs, tubers, corms etc in growth, chicory plants","Import","84019","12060","Weight in kilograms","12060"
"Indonesia","1992","060120","Bulbs, tubers, corms etc in growth, chicory plants","Export","1394372","4295685","Weight in kilograms","4295685"
"Indonesia","1992","060210","Cuttings and slips, not rooted","Import","20323","26713","Weight in kilograms","26713"
"Indonesia","1992","060210","Cuttings and slips, not rooted","Export","330802","534599","Weight in kilograms","534599"
"Indonesia","1992","060220","Trees, edible fruit or nut, shrubs and bushes","Import","7112","901","Weight in kilograms","901"
"Indonesia","1992","060220","Trees, edible fruit or nut, shrubs and bushes","Export","2800","2937","Weight in kilograms","2937"
"Indonesia","1992","060240","Roses","Import","4444","171","Weight in kilograms","171"
"Indonesia","1992","060240","Roses","Export","4521","30210","Weight in kilograms","30210"
"Indonesia","1992","060291","Mushroom spawn","Import","59421","3875","Weight in kilograms","3875"
"Indonesia","1992","060291","Mushroom spawn","Export","467","62","Weight in kilograms","62"
"Indonesia","1992","060299","Plants, live (including their roots),nes","Import","1685256","65667","Weight in kilograms","65667"
"Indonesia","1992","060299","Plants, live (including their roots),nes","Export","431211","1160793","Weight in kilograms","1160793"
"Indonesia","1992","060310","Cut flowers and flower buds for bouquets, etc., fresh","Import","92941","20360","Weight in kilograms","20360"
"Indonesia","1992","060310","Cut flowers and flower buds for bouquets, etc., fresh","Export","2128018","407438","Weight in kilograms","407438"
"Indonesia","1992","060390","Cut flowers and flower buds for bouquets, dried, etc.","Import","77057","240028","Weight in kilograms","240028"
"Indonesia","1992","060390","Cut flowers and flower buds for bouquets, dried, etc.","Export","98160","225055","Weight in kilograms","225055"
"Indonesia","1992","060410","Mosses and lichens for bouquets, ornamental purposes","Import","8103","8181","Weight in kilograms","8181"
"Indonesia","1992","060410","Mosses and lichens for bouquets, ornamental purposes","Export","276010","234403","Weight in kilograms","234403"
"Indonesia","1992","060491","Foliage,branches, for bouquets, etc. - fresh","Import","569","185","Weight in kilograms","185"
"Indonesia","1992","060491","Foliage,branches, for bouquets, etc. - fresh","Export","46321","36678","Weight in kilograms","36678"
"Indonesia","1992","060499","Foliage,branches, for bouquets, etc. - except fresh","Import","56827","12376","Weight in kilograms","12376"
"Indonesia","1992","060499","Foliage,branches, for bouquets, etc. - except fresh","Export","481396","1281975","Weight in kilograms","1281975"
"Indonesia","1991","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Import","56583","17088","Weight in kilograms","17088"
"Indonesia","1991","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Export","256954","226888","Weight in kilograms","226888"
"Indonesia","1991","060120","Bulbs, tubers, corms etc in growth, chicory plants","Import","9054","1420","Weight in kilograms","1420"
"Indonesia","1991","060120","Bulbs, tubers, corms etc in growth, chicory plants","Export","766226","2480573","Weight in kilograms","2480573"
"Indonesia","1991","060210","Cuttings and slips, not rooted","Import","8448","7163","Weight in kilograms","7163"
"Indonesia","1991","060210","Cuttings and slips, not rooted","Export","460373","843115","Weight in kilograms","843115"
"Indonesia","1991","060220","Trees, edible fruit or nut, shrubs and bushes","Import","6840","13139","Weight in kilograms","13139"
"Indonesia","1991","060240","Roses","Import","8851","400","Weight in kilograms","400"
"Indonesia","1991","060240","Roses","Export","8425","95296","Weight in kilograms","95296"
"Indonesia","1991","060291","Mushroom spawn","Import","1657","347","Weight in kilograms","347"
"Indonesia","1991","060299","Plants, live (including their roots),nes","Import","1978967","369201","Weight in kilograms","369201"
"Indonesia","1991","060299","Plants, live (including their roots),nes","Export","216622","271617","Weight in kilograms","271617"
"Indonesia","1991","060310","Cut flowers and flower buds for bouquets, etc., fresh","Import","59652","9958","Weight in kilograms","9958"
"Indonesia","1991","060310","Cut flowers and flower buds for bouquets, etc., fresh","Export","710725","751949","Weight in kilograms","751949"
"Indonesia","1991","060390","Cut flowers and flower buds for bouquets, dried, etc.","Import","68056","13986","Weight in kilograms","13986"
"Indonesia","1991","060390","Cut flowers and flower buds for bouquets, dried, etc.","Export","52368","152584","Weight in kilograms","152584"
"Indonesia","1991","060410","Mosses and lichens for bouquets, ornamental purposes","Import","15770","74143","Weight in kilograms","74143"
"Indonesia","1991","060410","Mosses and lichens for bouquets, ornamental purposes","Export","606717","1192768","Weight in kilograms","1192768"
"Indonesia","1991","060491","Foliage,branches, for bouquets, etc. - fresh","Export","1552","1132","Weight in kilograms","1132"
"Indonesia","1991","060499","Foliage,branches, for bouquets, etc. - except fresh","Import","6247","9744","Weight in kilograms","9744"
"Indonesia","1991","060499","Foliage,branches, for bouquets, etc. - except fresh","Export","838560","1524107","Weight in kilograms","1524107"
"Indonesia","1990","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Import","82100","86416","Weight in kilograms","86416"
"Indonesia","1990","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Export","60380","68060","Weight in kilograms","68060"
"Indonesia","1990","060120","Bulbs, tubers, corms etc in growth, chicory plants","Import","20925","4018","Weight in kilograms","4018"
"Indonesia","1990","060120","Bulbs, tubers, corms etc in growth, chicory plants","Export","422614","3186581","Weight in kilograms","3186581"
"Indonesia","1990","060210","Cuttings and slips, not rooted","Import","4924","12625","Weight in kilograms","12625"
"Indonesia","1990","060210","Cuttings and slips, not rooted","Export","581131","1451124","Weight in kilograms","1451124"
"Indonesia","1990","060220","Trees, edible fruit or nut, shrubs and bushes","Import","10","1","Weight in kilograms","1"
"Indonesia","1990","060240","Roses","Import","5796","397","Weight in kilograms","397"
"Indonesia","1990","060291","Mushroom spawn","Import","1181","187","Weight in kilograms","187"
"Indonesia","1990","060299","Plants, live (including their roots),nes","Import","1017028","203012","Weight in kilograms","203012"
"Indonesia","1990","060299","Plants, live (including their roots),nes","Export","161579","315477","Weight in kilograms","315477"
"Indonesia","1990","060310","Cut flowers and flower buds for bouquets, etc., fresh","Import","81198","23161","Weight in kilograms","23161"
"Indonesia","1990","060310","Cut flowers and flower buds for bouquets, etc., fresh","Export","161113","68612","Weight in kilograms","68612"
"Indonesia","1990","060390","Cut flowers and flower buds for bouquets, dried, etc.","Import","56410","7563","Weight in kilograms","7563"
"Indonesia","1990","060390","Cut flowers and flower buds for bouquets, dried, etc.","Export","102143","167233","Weight in kilograms","167233"
"Indonesia","1990","060410","Mosses and lichens for bouquets, ornamental purposes","Import","31357","164832","Weight in kilograms","164832"
"Indonesia","1990","060410","Mosses and lichens for bouquets, ornamental purposes","Export","974950","1899104","Weight in kilograms","1899104"
"Indonesia","1990","060491","Foliage,branches, for bouquets, etc. - fresh","Export","2899","7000","Weight in kilograms","7000"
"Indonesia","1990","060499","Foliage,branches, for bouquets, etc. - except fresh","Import","35453","10136","Weight in kilograms","10136"
"Indonesia","1990","060499","Foliage,branches, for bouquets, etc. - except fresh","Export","1823195","2429310","Weight in kilograms","2429310"
"Indonesia","1989","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Import","5356","944","Weight in kilograms","944"
"Indonesia","1989","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Export","62000","172994","Weight in kilograms","172994"
"Indonesia","1989","060120","Bulbs, tubers, corms etc in growth, chicory plants","Import","21786","1416","Weight in kilograms","1416"
"Indonesia","1989","060120","Bulbs, tubers, corms etc in growth, chicory plants","Export","236000","2370023","Weight in kilograms","2370023"
"Indonesia","1989","060210","Cuttings and slips, not rooted","Import","18963","8761","Weight in kilograms","8761"
"Indonesia","1989","060210","Cuttings and slips, not rooted","Export","718000","1624447","Weight in kilograms","1624447"
"Indonesia","1989","060220","Trees, edible fruit or nut, shrubs and bushes","Import","2027","261","Weight in kilograms","261"
"Indonesia","1989","060220","Trees, edible fruit or nut, shrubs and bushes","Export","30000","5710","Weight in kilograms","5710"
"Indonesia","1989","060230","Rhododendrons and azaleas","Import","305","50","Weight in kilograms","50"
"Indonesia","1989","060299","Plants, live (including their roots),nes","Import","810677","84376","Weight in kilograms","84376"
"Indonesia","1989","060299","Plants, live (including their roots),nes","Export","1993000","519295","Weight in kilograms","519295"
"Indonesia","1989","060310","Cut flowers and flower buds for bouquets, etc., fresh","Import","219287","11101","Weight in kilograms","11101"
"Indonesia","1989","060310","Cut flowers and flower buds for bouquets, etc., fresh","Export","5000","2292","Weight in kilograms","2292"
"Indonesia","1989","060390","Cut flowers and flower buds for bouquets, dried, etc.","Import","29908","7919","Weight in kilograms","7919"
"Indonesia","1989","060390","Cut flowers and flower buds for bouquets, dried, etc.","Export","98000","160628","Weight in kilograms","160628"
"Indonesia","1989","060410","Mosses and lichens for bouquets, ornamental purposes","Export","498000","1432768","Weight in kilograms","1432768"
"Indonesia","1989","060499","Foliage,branches, for bouquets, etc. - except fresh","Import","2320","1038","Weight in kilograms","1038"
"Indonesia","1989","060499","Foliage,branches, for bouquets, etc. - except fresh","Export","778000","1653412","Weight in kilograms","1653412"

